UUID        = 519c7bb4-12b7-4e68-9969-0fee9bf71ebb
ScanDate    = 20190813_152131
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     22156294     PULS   1813 
     22156296     PULS   1810 
     22156298     PULS   1806 
     22156300     PULS   1806 
     22156302     PULS   1804 
     22156304     PULS   1803 
     22156306     PULS   1803 
     22156308     PULS   1804 
     22156310     PULS   1803 
     22156312     PULS   1804 
     22156314     PULS   1804 
     22156316     PULS   1806 
     22156318     PULS   1808 
     22156320     PULS   1810 
     22156322     PULS   1811 
     22156324     PULS   1815 
     22156326     PULS   1817 
     22156328     PULS   1818 
     22156330     PULS   1820 
     22156332     PULS   1822 
     22156334     PULS   1822 
     22156336     PULS   1824 
     22156338     PULS   1824 
     22156340     PULS   1825 
     22156342     PULS   1825 
     22156344     PULS   1825 
     22156346     PULS   1827 
     22156348     PULS   1831 
     22156350     PULS   1832 
     22156352     PULS   1834 
     22156354     PULS   1836 
     22156356     PULS   1841 
     22156358     PULS   1846 
     22156360     PULS   1852 
     22156362     PULS   1862 
     22156364     PULS   1874 
     22156366     PULS   1892 
     22156368     PULS   1915 
     22156370     PULS   1943 
     22156372     PULS   1978 
     22156374     PULS   2020 
     22156376     PULS   2065 
     22156378     PULS   2119 
     22156380     PULS   2177 
     22156382     PULS   2244 
     22156384     PULS   2312 
     22156386     PULS   2382 
     22156388     PULS   2455 
     22156390     PULS   2527 
     22156392     PULS   2599 
     22156394     PULS   2671 
     22156396     PULS   2739 
     22156398     PULS   2805 
     22156400     PULS   2865 
     22156402     PULS   2924 
     22156404     PULS   2977 
     22156406     PULS   3026 
     22156408     PULS   3068 
     22156410     PULS   3103 
     22156412     PULS   3134 
     22156414     PULS   3164 
     22156416     PULS   3187 
     22156418     PULS   3208 
     22156420     PULS   3222 
     22156422     PULS   3232 
     22156424     PULS   3239 
     22156426     PULS   3241 
     22156428     PULS   3239 
     22156430     PULS   3232 
     22156432     PULS   3222 
     22156434     PULS   3206 
     22156436     PULS   3187 
     22156438     PULS   3166 
     22156440     PULS   3141 
     22156442     PULS   3115 
     22156444     PULS   3087 
     22156446     PULS   3057  PULS_TRIGGER
     22156448     PULS   3028 
     22156450     PULS   2996 
     22156452     PULS   2965 
     22156454     PULS   2933 
     22156456     PULS   2903 
     22156458     PULS   2874 
     22156460     PULS   2842 
     22156462     PULS   2812 
     22156464     PULS   2781 
     22156466     PULS   2751 
     22156468     PULS   2721 
     22156470     PULS   2693 
     22156472     PULS   2662 
     22156474     PULS   2632 
     22156476     PULS   2602 
     22156478     PULS   2573 
     22156480     PULS   2541 
     22156482     PULS   2510 
     22156484     PULS   2478 
     22156486     PULS   2448 
     22156488     PULS   2419 
     22156490     PULS   2391 
     22156492     PULS   2363 
     22156494     PULS   2338 
     22156496     PULS   2312 
     22156498     PULS   2289 
     22156500     PULS   2266 
     22156502     PULS   2245 
     22156504     PULS   2226 
     22156506     PULS   2209 
     22156508     PULS   2191 
     22156510     PULS   2177 
     22156512     PULS   2163 
     22156514     PULS   2153 
     22156516     PULS   2142 
     22156518     PULS   2132 
     22156520     PULS   2123 
     22156522     PULS   2112 
     22156524     PULS   2102 
     22156526     PULS   2093 
     22156528     PULS   2086 
     22156530     PULS   2079 
     22156532     PULS   2074 
     22156534     PULS   2070 
     22156536     PULS   2069 
     22156538     PULS   2065 
     22156540     PULS   2063 
     22156542     PULS   2063 
     22156544     PULS   2063 
     22156546     PULS   2062 
     22156548     PULS   2058 
     22156550     PULS   2056 
     22156552     PULS   2056 
     22156554     PULS   2051 
     22156556     PULS   2049 
     22156558     PULS   2046 
     22156560     PULS   2042 
     22156562     PULS   2039 
     22156564     PULS   2035 
     22156566     PULS   2032 
     22156568     PULS   2028 
     22156570     PULS   2023 
     22156572     PULS   2018 
     22156574     PULS   2011 
     22156576     PULS   2007 
     22156578     PULS   2000 
     22156580     PULS   1995 
     22156582     PULS   1986 
     22156584     PULS   1979 
     22156586     PULS   1972 
     22156588     PULS   1964 
     22156590     PULS   1955 
     22156592     PULS   1944 
     22156594     PULS   1937 
     22156596     PULS   1929 
     22156598     PULS   1920 
     22156600     PULS   1913 
     22156602     PULS   1908 
     22156604     PULS   1902 
     22156606     PULS   1897 
     22156608     PULS   1894 
     22156610     PULS   1890 
     22156612     PULS   1887 
     22156614     PULS   1885 
     22156616     PULS   1881 
     22156618     PULS   1876 
     22156620     PULS   1873 
     22156622     PULS   1867 
     22156624     PULS   1864 
     22156626     PULS   1859 
     22156628     PULS   1855 
     22156630     PULS   1853 
     22156632     PULS   1846 
     22156634     PULS   1843  ECG_TRIGGER
     22156636     PULS   1838 
     22156638     PULS   1834 
     22156640     PULS   1827 
     22156642     PULS   1825 
     22156644     PULS   1822 
     22156646     PULS   1818 
     22156648     PULS   1818 
     22156650     PULS   1817 
     22156652     PULS   1818 
     22156654     PULS   1817 
     22156656     PULS   1817 
     22156658     PULS   1817 
     22156660     PULS   1817 
     22156662     PULS   1815 
     22156664     PULS   1813 
