UUID        = 519c7bb4-12b7-4e68-9969-0fee9bf71ebb
ScanDate    = 20190813_152131
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     22160858     RESP   1414 
     22160866     RESP   1496 
     22160874     RESP   1586 
     22160882     RESP   1695 
     22160890     RESP   1811 
     22160898     RESP   1950 
     22160906     RESP   2078 
     22160914     RESP   2201 
     22160922     RESP   2284 
     22160930     RESP   2348 
     22160938     RESP   2396 
     22160946     RESP   2423 
     22160954     RESP   2501 
     22160962     RESP   2576 
     22160970     RESP   2681 
     22160978     RESP   2805 
     22160986     RESP   2895 
     22160994     RESP   2970 
     22161002     RESP   3068 
     22161010     RESP   3116 
     22161018     RESP   3173 
     22161026     RESP   3221 
     22161034     RESP   3281 
     22161042     RESP   3368 
     22161050     RESP   3450 
     22161058     RESP   3540 
     22161066     RESP   3589 
     22161074     RESP   3653 
     22161082     RESP   3720 
     22161090     RESP   3791 
     22161098     RESP   3859 
     22161106     RESP   3930 
     22161114     RESP   4024 
     22161122     RESP   4095 
     22161130     RESP   4095 
     22161138     RESP   4095 
     22161146     RESP   4095 
     22161154     RESP   4095 
     22161162     RESP   4095 
     22161170     RESP   4095 
     22161178     RESP   4095 
     22161186     RESP   4095 
     22161194     RESP   4095 
     22161202     RESP   4095 
     22161210     RESP   4046 
     22161218     RESP   3956 
     22161226     RESP   3866 
     22161234     RESP   3799 
     22161242     RESP   3731 
     22161250     RESP   3713 
     22161258     RESP   3694 
     22161266     RESP   3600 
     22161274     RESP   3499 
     22161282     RESP   3398 
     22161290     RESP   3285 
     22161298     RESP   3173 
     22161306     RESP   3030 
     22161314     RESP   2876 
     22161322     RESP   2749 
     22161330     RESP   2681 
     22161338     RESP   2603 
     22161346     RESP   2531 
     22161354     RESP   2441 
     22161362     RESP   2336 
     22161370     RESP   2246 
     22161378     RESP   2138 
     22161386     RESP   2040 
     22161394     RESP   1950 
     22161402     RESP   1886 
     22161410     RESP   1830 
     22161418     RESP   1766 
     22161426     RESP   1695 
     22161434     RESP   1613 
     22161442     RESP   1538 
     22161450     RESP   1451 
     22161458     RESP   1406 
     22161466     RESP   1369 
     22161474     RESP   1339 
     22161482     RESP   1309 
     22161490     RESP   1264 
     22161498     RESP   1223 
     22161506     RESP   1174 
     22161514     RESP   1121 
     22161522     RESP   1073 
     22161530     RESP   1028 
     22161538     RESP    986 
     22161546     RESP    949 
     22161554     RESP    941 
     22161562     RESP    900 
     22161570     RESP    863 
     22161578     RESP    844 
     22161586     RESP    806 
     22161594     RESP    773 
     22161602     RESP    750 
     22161610     RESP    709 
     22161618     RESP    686 
     22161626     RESP    679 
     22161634     RESP    686 
     22161642     RESP    686 
     22161650     RESP    668 
     22161658     RESP    660 
     22161666     RESP    645 
     22161674     RESP    626 
     22161682     RESP    578 
     22161690     RESP    518 
     22161698     RESP    446 
     22161706     RESP    398 
     22161714     RESP    386 
     22161722     RESP    386 
     22161730     RESP    375 
     22161738     RESP    353 
     22161746     RESP    330 
     22161754     RESP    308 
     22161762     RESP    289 
     22161770     RESP    274 
     22161778     RESP    263 
     22161786     RESP    263 
     22161794     RESP    266 
     22161802     RESP    266 
     22161810     RESP    263 
     22161818     RESP    266 
     22161826     RESP    274 
     22161834     RESP    304 
     22161842     RESP    353 
     22161850     RESP    443 
     22161858     RESP    544 
     22161866     RESP    626 
     22161874     RESP    720 
     22161882     RESP    821 
     22161890     RESP    896 
     22161898     RESP    979 
     22161906     RESP   1069 
     22161914     RESP   1159 
     22161922     RESP   1245 
     22161930     RESP   1376 
     22161938     RESP   1496 
     22161946     RESP   1613 
     22161954     RESP   1718 
     22161962     RESP   1823 
     22161970     RESP   1909 
     22161978     RESP   1999 
     22161986     RESP   2108 
     22161994     RESP   2228 
     22162002     RESP   2359 
